,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY
Date,,,,,,,,,,,,
2012-09-25,20.533151626586914,118.38565063476562,24.05500030517578,144.10000610351562,24.742143630981445,146.24000549316406,24.03571319580078,144.05999755859375,24.580713272094727,145.9600067138672,518789600,133165200
2012-09-26,20.278297424316406,117.72016906738281,23.75642967224121,143.2899932861328,24.024642944335938,144.11000061035156,23.614286422729492,142.9499969482422,23.88357162475586,144.07000732421875,576503200,146502200
2012-09-27,20.77033233642578,118.82929992675781,24.332857131958008,144.63999938964844,24.36321449279785,144.97000122070312,23.58392906188965,143.50999450683594,23.72464370727539,143.88999938964844,594090000,111830300
2012-09-28,20.33682632446289,118.2788314819336,23.825000762939453,143.97000122070312,24.32535743713379,144.55999755859375,23.8125,143.4600067138672,24.241071701049805,144.08999633789062,535110800,150696100
2012-10-01,20.101783752441406,118.59102630615234,23.54964256286621,144.35000610351562,24.16964340209961,145.69000244140625,23.446428298950195,144.00999450683594,23.969999313354492,144.52000427246094,543594800,135911200
2012-10-02,20.160320281982422,118.71424102783203,23.618213653564453,144.5,23.798213958740234,145.14999389648438,23.237499237060547,143.8300018310547,23.636070251464844,144.9199981689453,627992400,113422200
2012-10-03,20.46943473815918,119.19896697998047,23.980356216430664,145.08999633789062,23.9950008392334,145.42999267578125,23.66535758972168,144.1300048828125,23.7450008392334,144.88999938964844,424281200,121283100
2012-10-04,20.327678680419922,120.05340576171875,23.814285278320312,146.1300048828125,24.08035659790039,146.33999633789062,23.769643783569336,145.44000244140625,23.97321319580078,145.63999938964844,370725600,124311600
2012-10-05,19.894485473632812,120.0615463256836,23.306785583496094,146.13999938964844,23.78571319580078,147.16000366210938,23.260000228881836,145.6999969482422,23.757143020629883,146.91000366210938,594006000,124842100
2012-10-08,19.454885482788086,119.65078735351562,22.791786193847656,145.63999938964844,23.12714385986328,146.1199951171875,22.71821403503418,145.30999755859375,23.10285758972168,145.60000610351562,637994000,78415400
2012-10-09,19.3841609954834,118.46778106689453,22.70892906188965,144.1999969482422,22.874643325805664,145.64999389648438,22.269643783569336,144.14999389648438,22.808929443359375,145.52999877929688,838597200,148872900
2012-10-10,19.538415908813477,117.71196746826172,22.8896427154541,143.27999877929688,23.03499984741211,144.32000732421875,22.75,143.08999633789062,22.847856521606445,144.17999267578125,510356000,124247500
2012-10-11,19.14789581298828,117.7776870727539,22.43214225769043,143.36000061035156,23.114286422729492,144.49000549316406,22.43214225769043,143.3300018310547,23.08928680419922,144.27999877929688,546081200,123601500
2012-10-12,19.196975708007812,117.39153289794922,22.489643096923828,142.88999938964844,22.692142486572266,143.9499969482422,22.332143783569336,142.5800018310547,22.484285354614258,143.4600067138672,460014800,124181900
